x,Y,dsid
1452,154.803131103516,6
1461,195.961486816406,6
1496,198.767028808594,6
1613,73.5994720458984,6
1757,213.647613525391,6
1814,98.5215301513672,6
1842,116.068754196167,6
1880,69.8818054199219,6
1984,29.4604187011719,6
2079,276.929138183594,6
2178,110.109321594238,6
2203,53.4973983764648,6
2209,27.5616073608398,6
2246,144.807647705078,6
2282,220.384429931641,6
2327,65.2898406982422,6
2461,46.2460861206055,6
2486,23.7193984985352,6
2544,73.7485656738281,6
2574,20.581184387207,6
2649,34.5732421875,6
2714,73.716552734375,6
2751,46.4817771911621,6
2780,199.097930908203,6
2809,31.6622085571289,6
2845,212.008117675781,6
2900,86.2748146057129,6
3051,52.1051940917969,6
3367,203.172348022461,6
3570,12.0237369537354,6
150,128.337127685547,7
209,254.664276123047,7
308,121.981164932251,7
1528,147.018753051758,7
1616,246.336349487305,7
1629,65.0010452270508,7
1641,118.704849243164,7
1663,108.804513931274,7
1717,238.045852661133,7
1743,127.261764526367,7
1743,248.503723144531,7
1816,-3.41742372512817,7
1832,189.136611938477,7
1860,81.497314453125,7
1889,60.7953033447266,7
1895,132.764535903931,7
2016,109.554105758667,7
2024,244.375366210938,7
2059,100.788803100586,7
2271,218.850982666016,7
2274,107.32600402832,7
2346,164.02294921875,7
2379,142.96711730957,7
2382,153.543243408203,7
3195,230.021087646484,7
3264,143.027328491211,7
3332,132.157196044922,7
3379,129.274251937866,7
3425,214.340698242188,7
4209,12.118706703186,7
